category,Total_Revenue,Item_Count,Avg_Item_Revenue
Outerwear & Coats,45936.0,5,9187.2
Jeans,29275.25,5,5855.05
Active,29095.0,6,4849.17
Dresses,27751.0,5,5550.2
Suits & Sport Coats,27630.4,5,5526.08
Shorts,27392.03,5,5478.41
Blazers & Jackets,20384.18,5,4076.84
Sweaters,18531.0,5,3706.2
Sleep & Lounge,15718.49,5,3143.7
Pants & Capris,15082.56,5,3016.51
Skirts,14928.0,5,2985.6
Intimates,14511.94,5,2902.39
Accessories,13606.0,5,2721.2
Swim,12972.77,5,2594.55
Plus,12905.44,5,2581.09
Jumpsuits & Rompers,12768.0,5,2553.6
Pants,12716.74,5,2543.35
Fashion Hoodies & Sweatshirts,12645.27,5,2529.05
Socks,11809.45,5,2361.89
Maternity,10289.0,5,2057.8
Tops & Tees,9672.0,5,1934.4
Suits,8465.77,5,1693.15
Leggings,7911.2,5,1582.24
Clothing Sets,6575.54,5,1315.11
Underwear,6051.33,5,1210.27
Socks & Hosiery,2944.8,5,588.96
