Rank,Category,Product_Name,Total_Revenue
1,Jeans,True Religion Men's Ricky Straight Jean,10484.60009765625
2,Shorts,Alpha Industries Rip Stop Short,9990.0
3,Outerwear & Coats,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,9933.0
4,Outerwear & Coats,Diesel Men's Lophophora Leather Jacket,9878.0
5,Shorts,AIR JORDAN DOMINATE SHORTS MENS 465071-100,9030.0
6,Outerwear & Coats,Canada Goose Men's The Chateau Jacket,8965.0
7,Outerwear & Coats,Woolrich Arctic Parka DF,8910.0
8,Outerwear & Coats,Nobis Men's Cartel Jacket,8250.0
9,Suits & Sport Coats,Harris Tweed Wool Jacket-Dougal Limited Edition,7800.0
10,Dresses,Parker Women's Beaded Shift Dress,6820.0
11,Active,Canada Goose Men's The Chateau Jacket,6520.0
12,Active,JORDAN DURASHEEN SHORT MENS 404309-109,6321.0
13,Intimates,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,6321.0
14,Socks,Jordan Low Quarter Sock Style # 427411,6321.0
15,Dresses,Tracy Reese Women's Contrast Frock,5976.0
